Machine_ID,Temperature,Run_Time,Downtime_Flag
Machine_52,66.94728944,6.314701678,0
Machine_93,79.63515793,8.643273779,0
Machine_15,54.5327637,2.103425922,0
Machine_72,30.20642422,22.48698775,0
Machine_61,42.70207246,13.29125378,0
Machine_21,49.04658371,7.332583456,0
Machine_83,71.67337931,9.52755641,0
Machine_87,65.66226437,10.73286097,0
Machine_75,48.48773807,14.414264,0
Machine_75,98.9212199,12.37630626,1
Machine_88,68.46198555,22.06540736,0
Machine_100,38.97814334,11.92712359,0
Machine_24,28.14259781,23.81179236,0
Machine_3,32.22873113,20.43419899,0
Machine_22,39.67661827,5.004252345,0
Machine_53,32.85450986,22.33428515,0
Machine_2,34.92536192,2.792793549,0
Machine_88,42.8076135,19.618793,0
Machine_30,33.86988762,9.134959043,0
Machine_38,91.74123397,21.07138369,1
Machine_2,26.41869965,20.83336056,0
Machine_64,61.96091117,19.3422096,0
Machine_60,52.83174616,18.96073047,0
Machine_21,98.59028935,7.312299338,1
Machine_33,28.96311217,1.942062793,1
Machine_76,51.82844792,9.67152429,0
Machine_58,97.55763466,4.16458836,1
Machine_22,89.24057007,16.67882613,1
Machine_89,85.36576568,8.306393437,1
Machine_49,40.63222616,23.41464482,0
Machine_91,33.67100699,15.38332986,0
Machine_59,73.49145759,19.73953353,0
Machine_42,94.35007913,3.180592146,1
Machine_92,64.54103144,20.68834757,0
Machine_60,65.72901516,22.14617257,0
Machine_80,42.39832749,11.68948605,0
Machine_15,81.55943466,14.55007051,1
Machine_62,34.96349988,18.35543522,0
Machine_62,45.89433891,4.196127054,0
Machine_47,54.03491509,12.06158584,0
Machine_62,60.60883029,9.567912667,0
Machine_51,39.39277859,3.512975812,0
Machine_55,29.18694598,8.820826135,0
Machine_64,68.8496034,1.636135425,1
Machine_3,43.09044426,0.619485767,1
Machine_51,66.49905771,3.24399094,0
Machine_7,32.34901722,23.11476268,0
Machine_21,58.49120815,13.18870886,0
Machine_73,62.6071546,23.17973187,0
Machine_39,24.14588295,10.37994908,0
Machine_18,46.92834226,7.483587194,0
Machine_4,30.75317416,12.14740471,0
Machine_89,25.06999764,10.54828053,0
Machine_60,99.19681859,2.535952422,1
Machine_14,45.7883076,15.37983155,0
Machine_9,84.78995567,5.18491638,1
Machine_90,40.37125238,14.87011092,0
Machine_53,74.52021778,15.60482622,0
Machine_2,80.81822879,3.648596475,1
Machine_84,67.65109925,1.472391051,1
Machine_92,57.72609508,18.73827807,0
Machine_60,52.94727313,11.03521017,0
Machine_71,47.90946132,1.395931092,1
Machine_44,94.36233154,23.87679161,1
Machine_8,86.44955262,1.386733464,1
Machine_47,97.20215285,16.68084549,1
Machine_35,29.94377788,23.60829421,0
Machine_78,78.46939802,5.740322501,0
Machine_81,95.06723655,3.413984848,1
Machine_36,34.49864529,2.913238546,0
Machine_50,25.31970139,7.278603542,0
Machine_4,79.28965194,2.425099464,0
Machine_2,65.95784905,16.6118722,0
Machine_6,87.34630214,1.495003155,1
Machine_54,31.18179013,12.22613108,0
Machine_4,83.62138495,23.92072449,1
Machine_54,36.1301856,19.53528647,0
Machine_93,33.09247543,14.76526652,0
Machine_63,33.14126383,7.350086899,0
Machine_18,85.16597762,14.97350007,1
Machine_90,73.21577766,12.64899513,0
Machine_44,61.84523398,10.22600121,0
Machine_34,48.70643873,3.137049042,0
Machine_74,90.17604327,21.27850117,1
Machine_62,51.39560859,10.79483157,0
Machine_100,85.32795516,4.670940284,1
Machine_14,55.13079269,8.826224421,0
Machine_95,50.15555435,9.939114061,0
Machine_48,57.01438285,19.86090949,0
Machine_15,44.11022993,17.60674513,0
Machine_72,79.80875041,18.46331745,0
